Perusahaan,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
Alcatel,1.328,1.181,0.722,2.601,1.909,20.391,0.032,0.032,7.733,0.055
Anel,0.873,0.819,0.682,2.15,0.769,0.4932,-0.071,-0.071,-5.28,-0.02
Arena,1.457,0.843,0.651,1.867,4.322,77.776,0.025,0.025,13.78,0.103
Armada,1.495,0.962,0.652,1.872,3.103,96.384,0.015,0.015,9.37,0.044
Aselsan,2.394,1.709,0.734,2.765,0.546,1.7728,0.177,0.177,0.938,0.074
Datagate,1.439,1.013,0.694,2.273,4.229,2191.6,0.014,0.014,13.86,0.061
Escort,0.478,0.157,0.206,0.259,3.664,0.3913,0.107,0.107,-3.36,0.038
Indeks,1.296,0.852,0.742,2.873,2.681,34.974,0.016,0.016,11.74,0.04
Karel,2.429,1.677,0.35,0.538,1.008,2.9002,0.137,0.137,1.713,0.102
Link,3.113,3.095,0.128,0.147,1.189,0.6493,-0.312,-0.312,1.752,-0.13
Logo,1.803,1.78,0.195,0.243,1.174,0.5062,-0.315,-0.315,2.635,-0.11
Plastik K.,8.909,6.783,0.176,0.213,2.337,4.323,0.05,0.05,2.632,0.075
